kanji|meaning|onyomi|kunyomi|lesson|bonus
国|country|コク; ゴク; コッ|くに|6|0
王|king|オウ(サマ)||6|1
玉|jewel; ball|ギョク|たま|6|1
耳|ear|ジ; ニ|みみ|6|1
京|capital|(トウ)キョウ||7|0
子|child|シ|こ(ども)|7|0
小|small|ショウ|ちい(さい)|7|0
会|to meet|カイ|あ(う)|7|0
社|company|(カイ)シャ; ジャ||7|0
父|father|フ|ちち; とう|7|0
母|mother|ボ|はは; かあ|7|0
高|high|コウ|たか(い)|7|0
校|school|(ガッ)コウ||7|0
毎|every|マイ||7|0
語|word|(タン)ゴ||7|0
文|sentence|ブン,も(じ)||7|0
帰|to return|キ|かえ(る)|7|0
入|to enter|ニュウ|はい(る); い; いり|7|0
員|member|(カイシャ)イン||8|0
新|new|シン|あたら(しい)|8|0
聞|to listen|ブン|き(く)|8|0
作|to make|サク|つく(る)|8|0
仕|to serve|シ(ゴト)|つか(える)|8|0
事|thing|ジ|し(ごと); こと|8|0
電|electricity|デン||8|0
車|car|シャ|くるま|8|0
休|to rest|キュウ|やす(む)|8|0
言|to say|ゲン|い(う); こと|8|0
読|to read|ドク|よ(む)|8|0
思|to think|シ|おも(う)|8|0
次|next|ジ|つぎ|8|0
何|what||なに; なん|8|0
午|noon|ゴ(ゴ)||9|0
後|after|ゴ|あと; うし(ろ)|9|0
前|before|ゼン|まえ|9|0
名|name|メイ; ミョウ|な(まえ)|9|0
白|white|ハク|しろ(い)|9|0
雨|rain|ウ|(おお)あめ|9|0
書|to write|ショ|か(く)|9|0
友|friend|ユウ|とも|9|0
間|between|カン; ゲン|あいだ|9|0
家|house|カ|いえ; や|9|0
話|to speak|ワ|はな(す); はなし|9|0
少|few|ショウ|すこ(し); すく(ない)|9|0
古|old|コ|ふる(い)|9|0
知|to know|チ|し(る)|9|0
来|to come|ライ|く(る)|9|0
住|to live|ジュウ|す(む)|10|0
正|right; correct|ショウ; セイ|ただ(しい)|10|0
年|year|ネン|とし|10|0
売|to sell|バイ|う(る)|10|0
買|to buy|バイ|か(う)|10|0
町|town|チョウ|まち|10|0
長|long|チョウ|なが(い)|10|0
道|way|ドウ|みち|10|0
雪|snow|セツ|ゆき|10|0
立|to stand|リツ|た(つ)|10|0
自|self|ジ|みずか(ら)|10|0
夜|night|ヤ|よる; よ|10|0
朝|morning|チョウ|あさ|10|0
持|to hold|ジ|も(つ)|10|0
村|village|ソン|むら|10|1
手|hand|シュ|て|11|0
紙|paper|シ|かみ; がみ|11|0
好|favorite; to like|コウ|す(き); この(む)|11|0
近|near|キン|ちか(い)|11|0
明|bright|メイ|あか(るい)|11|0
病|ill; sick|ビョウキ|やまい|11|0
院|institution|(ビョウ)イン||11|0
映|to reflect|エイ|うつ(す)|11|0
画|picture|ガ; カク|え|11|0
歌|to sing|カ|うた(う)|11|0
市|city|シ|いち|11|0
所|place; point; section|ジョ; ショ|ところ; どころ|11|0
勉|to make efforts|ベン|つと(める)|11|0
強|strong|キョウ; ゴウ|つよ(い)|11|0
有|to exist|ユウ|あ(る)|11|0
旅|travel|リョ|たび|11|0
糸|thread|シ|いと|11|1
昔|old times|ムカシ||12|0
々|(repeat symbol)|||12|0
神|god|シン; ジン; コウ|かみ|12|0
早|early|ソウ|はや(い)|12|0
起|to get up|キ|お(きる)|12|0
牛|cow|ギュウ|うし|12|0
使|to use|シ|つか(う)|12|0
働|to work|ドウ|はたら(く); ばたら|12|0
連|to link|レン|つ(れる)|12|0
別|to separate|ベツ|わか(れる)|12|0
度|time; degress|ド||12|0
赤|red|セキ|あか(い)|12|0
青|blue|セイ|あお(い)|12|0
色|color|シキ; ショク|いろ|12|0
虫|insect|チュウ|むし|12|1
貝|shellfish|バイ|かい|12|1
草|grass|ソウ|くさ|12|1
物|thing|ブツ|もの|13|0
鳥|bird|チョウ|とり|13|0
料|ingredients; fare|リョウ(リ)||13|0
理|reason|(リョウ)リ||13|0
特|special|トク(ベツ); トッ||13|0
安|cheap; ease|アン|やす(い)|13|0
飯|food; cooked rice|(ゴ)ハン||13|0
肉|meat|ニク||13|0
悪|bad; wrong|アク; オ|わる(い)|13|0
体|body|タイ; テイ|からだ|13|0
空|sky; empty|クウ|そら; あ(く); から|13|0
港|port; harbor|コウ|みなと|13|0
着|to reach; to wear|チャク|つ(く); き(る)|13|0
同|same|ドウ|おな(じ)|13|0
海|sea|カイ|うみ|13|0
昼|noon; daytime|チュウ|ひる|13|0
彼|he||かれ; かの|14|0
代|age; replace|ダイ|か(わり)|14|0
留|to stay; to keep|リュウ; ル||14|0
族|family; tribe|(カ)ゾク||14|0
親|parent; intimacy|シン|おや; した(しい)|14|0
切|to cut|セツ; キッ|き(る)|14|0
英|English; excellent|エイ(ゴ)||14|0
店|shop|テン|みせ|14|0
去|past; to leave|キョ; コ|さ(る)|14|0
急|to hurry; emergency|キュウ|いそ(ぐ)|14|0
乗|to ride|ジョウ|の(る)|14|0
当|to hit|トウ|あ(たる)|14|0
音|sound|オン|おと; ね|14|0
楽|pleasure|ガク; ラク|たの(しい)|14|0
医|doctor; medicine|(イ)シャ||14|0
者|person (esp. in a role)|シャ|もの|14|0
死|death; to die|シ|し(ぬ)|15|0
